university_press,university,latitude,longitude,open_access,publication_fees,most_recent,repository,url,twitter,facebook
University of Nairobi Press,University of Nairobi,-1.280175,36.816793,no,n/a,2013,,"<a href=""http://www.uonbi.ac.ke/press/"" target=""_blank"">uonbi.ac.ke</a>",,
Addis Ababa University Press,University of Addis Ababa,9.0457714,38.7587805,no,n/a,2014,,"<a href=""http://www.aau.edu.et/services/university-press/"" target=""_blank"">aau.edu.et</a>",,
Ghana Universities Press,University of Ghana,5.651927,-0.187079,no,n/a,2014,"<a href=""http://ugspace.ug.edu.gh/"" target=""_blank"">ugspace.ug.edu.gh</a>",,,
University of Namibia Press,University of Namibia,-22.611692,17.061586,no,n/a,2015,,"<a href=""www.unam.edu.na/unam-press/publishers"" target=""_blank"">unam.edu.na</a>",,"<a href=""https://www.facebook.com/UNAM-Press-882684118409169/"" target=""_blank"">UNAM Press</a>"
University of Lagos Press,University of Lagos,6.519464,3.391752,n/a,n/a,,,"<a href=""http://www.unilagpress.com/"" target=""_blank"">unilagpress.com</a>",,
Unisa Press,University of South Africa,-25.768004,28.200412,no,n/a,2014,,"<a href=""http://www.unisa.ac.za/press"" target=""_blank"">unisa.ac.za</a>","<a href=""https://twitter.com/UNISAPress"" target=""_blank"">@UNISAPress</a>","<a href=""https://www.facebook.com/UnisaPress"" target=""_blank"">UNISA Press</a>"
Dar es Salaam University Press,University of Dar es Salaam,-6.780349,39.208404,no,n/a,,,,,
University of Zambia Press,University of Zambia,-15.3920402,28.3275187,no,n/a,,,"<a href=""http://www.unza.zm/l/units/up/"" target=""_blank"">unza.zm</a>",,
Wits University Press,University of the Witwatersrand,-26.189712,28.031913,no,n/a,2014,,"<a href=""http://www.witspress.co.za"" target=""_blank"">witspress.co.za</a>","<a href=""https://twitter.com/WitsPress"" target=""_blank"">@WitsPress</a>","<a href=""www.facebook.com/pages/Wits-University-Press"" target=""_blank"">Wits University Press</a>"
UCT Press,University of Cape Town,-33.957407,18.461156,no,n/a,2014,,"<a href=""www.uctpress.co.za"" target=""_blank"">uctpress.co.za</a>","<a href=""https://twitter.com/UCTPress"" target=""_blank"">@UCTPress</a>","<a href=""www.facebook.com/UCTPress"" target=""_blank"">UCT Press</a>"
University of KwaZulu-Natal Press,University of KwaZulu-Natal,-29.867366,30.980968,no,n/a,2015,,"<a href=""www.ukznpress.co.za"" target=""_blank"">ukznpress.co.za</a>","<a href=""https://twitter.com/UKZNPress"" target=""_blank"">@UKZNPess</a>","<a href=""www.facebook.com/UKZNPress"" target=""_blank"">UKZN Press</a>"
Fort Hare University Press,University of Fort Hare,-32.7867973,26.8486087,no,n/a,,,,,
American University of Cairo Press,American University of Cairo,30.0192707,31.5028197,no,n/a,2015,,"<a href=""http://www.aucpress.com/"" target=""_blank"">aucpress.com</a>","<a href=""https://twitter.com/AUCPress"" target=""_blank"">@AUCPess</a>","<a href=""www.facebook.com/aucpress"" target=""_blank"">AUC Press</a>"
Moi University Press,Moi University,0.28214,35.294812,no,n/a,,,"<a href=""http://www.mu.ac.ke/mupress/"" target=""_blank"">mu.ac.ke</a>",,
Sud Sciences et Technologie,International Institute for Water and Environmental Engineering,12.379045,-1.501537,yes ,n/a,2013,,"<a href=""http://www.2ie-edu.org/recherche/publications-scientifiques/"" target=""_blank"">2ie-edu.org</a>",,
Ouagadougou University Press,University of Ouagadougou,12.3787928,-1.4996863,no,n/a,2011,,,,
Presse Universitaire de l'Université de Kinshasa,University of Kinshasa,-4.4193858,15.3095529,no,n/a,,,,,
Jimma University Press,Jimma University,7.6820055,36.8559734,no,n/a,,,,,
Wollega University Press,Wollega University,9.083333,36.55,yes,no,2014,,"<a href=""www.starjournal.org/wu-press.html"" target=""_blank"">starjournal.org</a>",,
Presses Universitaires du Gabon,Omar Bongo University,0.422004,9.445603,no,no,2013,,"<a href=""www.pug-uob.org"" target=""_blank"">pug-uob.org</a>",,
University Printing Press,Kwame Nkrumah University of Science and Technology,6.682569,-1.575651,no,n/a,2014,"<a href=""http://ir.knust.edu.gh/"" target=""_blank"">ir.kn  ust.edu.gh</a>",,,
University Press,University of Cape Coast,5.103506,-1.2824833,n/a,n/a,,,"<a href=""http://journal.ucc.edu.gh/"" target=""_blank"">ucc.edu.gh</a>",,
Ain Shams University Press,Ain Shams University,30.0770222,31.2850167,no,n/a,,,"<a href=""http://www.asu.edu.eg/article.php?action=show&id=8248"" target=""_blank"">asu.edu.ga</a>",,
Al-Azhar University Press,Al-Azhar University,30.0472018,31.2583045,n/a,n/a,,,"<a href=""http://www.azhar.edu.eg/En/u.htm"" target=""_blank"">azhar.edu.eg</a>",,
Assiut University Press,Assiut University,27.2002131,31.1816454,n/a,n/a,,,,,
Alexandria University Press,Alexandria University,31.210655,29.913214,n/a,n/a,,,"<a href=""http://au.alexu.edu.eg/English/Research/Pages/Alexandria-University-Press.aspx"" target=""_blank"">alexu.edu.eg</a>",,
Central Fayoum University Press,Fayoum University,29.322158,30.83733,n/a,n/a,,,,,
Menoufia University Press,Menoufia University,30.5655764,31.0130822,n/a,n/a,,"<a href=""http://mu.menofia.edu.eg/Publication/CouncilHome/en ""target=""_blank"">my.menofia.edu.eg</a> ",,,
Sebha University Press,Sebha University,27.038889,14.426389,n/a,n/a,,,,,
Presse of the University of Antananarivo,University of Antananarivo,-18.914089,47.562768,no,no,,,,,
Mzuni Press,Mzuzu University,-11.420382,33.995422,no,n/a,2015,,"<a href=""http://mzunipress.luviri.net/index.html"" target=""_blank"">luviri.net</a>",,
Al Akhawayn University Press,Al Akhawayn University,33.53932,-5.1057565,no,n/a,,,,,
Faculty of Law Abia State University Press,Abia State University ,5.8281748,7.3960036,n/a,n/a,,,,,"<a href=""https://www.facebook.com/Faculty-of-Law-Abia-State-University-Press-154911561258492"" target=""_blank"">Faculty of Law Abia State University Press</a>"
LASU Press,Lagos State University,6.4696317,3.2005641,n/a,n/a,,,,,
University of Calabar Press,University of Calabar,4.9527,8.3406,n/a,n/a,,,,,
Ibadan University Press,Ibadan University,7.44938,3.89622,n/a,n/a,,,"<a href=""http://ui.edu.ng/press"" target=""_blank"">ui.edu.ng</a>",,
Unilorin Press,University of Ilorin,8.480749,4.5257036,n/a,n/a,,,"<a href=""https://openlibrary.org/publishers/Unilorin_Press"" target=""_blank"">openlibrary.org</a>",,
Jos University Press,University of Jos,9.9503276,8.8893568,n/a,n/a,2008,,"<a href=""https://openlibrary.org/publishers/Jos_University_Press"" target=""_blank"">openlibrary.org</a>",,
University of Maiduguri Press,University of Maiduguri,11.8036963,13.1999909,n/a,n/a,,,,,
University of Port Harcourt Press,University of Port Harcourt,4.9026848,6.9205498,n/a,n/a,2006,,"<a href=""http://www.uniport.edu.ng/publications/pub1/journals.html"" target=""_blank"">uniport.edu.ng</a>",,
Usmanu Danfodiyo University Press,"Usmanu Danfodiyo University, Sokoto",13.1274309,5.204612,n/a,n/a,,,,,
Njala University Press,Njala University,8.233333,-12.016667,n/a,n/a,,,,,
Khartoum University Press,University of Khartoum,15.6093653,32.5417112,n/a,n/a,,,"<a href=""http://kup.uofk.edu/index.php?option=com_content&view=article&id=680:home&lang=en"" target=""_blank"">kup.uofk.edu</a>",,
Presses de l'Université de Lomé,University of Lome,6.177375,1.2130002,n/a,n/a,,,,,
Makerere University Press,Makerere University,0.329183,32.5709881,n/a,n/a,,,,,
"University Press, Eduardo Mondlane University",Eduardo Mondlane University,-25.949357,32.598775,n/a,n/a,,,,,
Pretoria University Law Press,University of Pretoria,-25.754254,28.231437,yes,n/a,,,"<a href=""www.pulp.up.ac.za"" target=""_blank"">up.ac.za</a>",,
African Sun Media ,Stellenbosch University & University of Bloemfontein,-33.942385,18.827554,no,n/a,2015,,"<a href=""http://www.africansunmedia.co.za/"" target=""_blank"">africansunmedia.co.za</a>","<a href=""https://twitter.com/africansunmedia"" target=""_blank"">@AfricanSunMedia</a>","<a href=""https://www.facebook.com/africansunmedia"" target=""_blank"">African Sun Media</a>"
Presses Universitaires de Dakar,Cheikh Anta Diop University of Dakar,14.687806,-17.463239,no,n/a,2013,,"<a href=""http://www.ucad.sn/index.php?option=com_content&view=category&layout=blog&id=154&Itemid=324"" target=""_blank"">ucad.sn</a>",,
Institut Superieur de Documentation de Tunis,University of Manouba,36.8105904,10.0685942,no,n/a,,,"<a href=""www.isd.enu.tn"" target=""_blank"">isd.enu.tn</a>",,
University of Sierra Leone Press,University of Sierra Leone,8.4852972,-13.2315409,no,n/a,,,,,
Ahmadu Bello University Press Ltd,Ahmadu Bello University,11.155605,7.654118,no,n/a,,,"<a href=""http://www.abupress.org"" target=""_blank"">abupress.org</a>",,
LAUTECH Press,Ladoke Akintola University of Technology,8.1531249,4.2535973,n/a,n/a,,,"<a href=""http://www.lautechpress.4t.com/custom.html"" target=""_blank"">lautechpress.4t.com</a>",,
